Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-06-22,49.7271,50.4255,49.0957,50.4255,98671.576434259
2016-06-23,50.3681,52.8458,50.3681,52.8458,265846.17834702
2016-06-24,47.8329,49.7462,46.2066,48.6843,384751.72591362
2016-06-27,48.7896,49.5262,46.8763,47.0676,108920.79309762
2016-06-28,48.3113,48.7896,47.3737,47.3737,137279.92089741
2016-06-29,47.8329,49.9089,47.766,49.9089,152952.1805031
2016-06-30,49.7367,50.0332,49.2679,50.0141,101613.06503096
2016-07-01,50.4924,50.4924,49.3157,49.7462,120071.06277106
2016-07-04,48.8374,49.421,48.4548,49.421,238484.27162798
2016-07-05,49.7367,50.1959,48.8278,49.4114,208873.91360422
2016-07-06,48.8087,49.4018,46.5893,46.5893,367062.02743386
2016-07-07,47.1633,47.6512,46.838,46.838,168045.34107447
2016-07-08,47.2015,49.2105,46.9815,48.7896,409405.24707684
2016-07-11,49.4784,49.4784,49.0766,49.2966,276596.09616099
2016-07-12,49.7462,49.7941,49.1531,49.5166,238503.08712007
2016-07-13,49.6984,51.143,49.2679,50.6072,353569.22899524
2016-07-14,50.6072,50.7986,49.7845,50.2246,79991.974009553
2016-07-15,51.1047,51.1047,50.4733,50.7507,183192.85751187
2016-07-18,50.7507,51.65,50.6551,51.0856,81902.791761783
2016-07-19,51.363,51.5161,50.8368,51.5161,95799.077975217
2016-07-20,51.5639,52.6449,51.1908,52.6449,162720.55681305
2016-07-21,52.6545,52.6545,52.0422,52.2144,121740.41504147
2016-07-22,52.2049,52.2049,51.4587,51.6404,77252.229300254
2016-07-25,51.8413,52.2623,51.4108,52.1188,130138.39634422
2016-07-26,52.0518,52.4249,51.3056,52.2336,100560.44277905
2016-07-27,51.7839,52.0901,50.9995,51.6596,152540.33028736
2016-07-28,51.6596,51.6691,49.8897,50.2246,164734.85977178
2016-07-29,50.2246,50.2246,48.3113,48.3113,222497.37518235
2016-08-01,48.847,49.7845,48.0721,48.4165,193144.16221715
2016-08-02,49.4497,50.8942,48.4739,50.0332,300343.33778855
2016-08-03,50.2246,50.6838,48.9426,48.9426,104986.26464062
2016-08-04,49.6123,50.9995,49.0766,50.8273,198541.07253157
2016-08-05,51.3534,53.6685,50.7029,53.5633,535988.5607212
2016-08-08,53.5729,55.0079,53.5729,54.8644,481740.36111096
2016-08-09,55.0748,55.0748,53.7164,54.0512,357985.64311077
2016-08-10,54.0321,54.5295,53.7642,54.2425,224599.48377083
2016-08-11,54.4434,55.2375,52.6258,54.1373,236448.01726182
2016-08-12,54.1851,54.5104,53.5824,54.0608,155060.56092227
2016-08-16,53.5824,54.3573,53.0945,53.6685,291703.89100398
2016-08-17,53.1902,53.3815,51.7074,51.7074,231551.80809801
2016-08-18,51.7552,52.798,51.5639,51.6596,422774.69951176
2016-08-19,52.2336,52.4727,50.8081,50.8081,162003.47750341
2016-08-22,50.7029,51.9466,50.7029,51.3726,688582.20156948
2016-08-23,50.9995,51.6213,50.2724,51.0856,275109.67228589
2016-08-24,51.1812,51.3343,49.8419,50.4542,288570.06626591
2016-08-25,50.8368,50.8368,49.574,49.861,251886.1285215
2016-08-26,49.7462,49.7462,48.7417,49.1722,199620.8727165
2016-08-29,48.9905,50.0715,48.9905,49.7462,218009.88031893
2016-08-30,49.7462,51.5639,49.5645,51.0856,264880.31641974
2016-08-31,51.1812,51.9466,50.4159,50.9803,436318.71790107
2016-09-01,51.3247,51.3247,49.3731,49.6219,287487.13016563
2016-09-02,49.6506,49.9567,49.2679,49.6506,243325.07962064
2016-09-05,50.5977,50.5977,49.3731,49.574,148698.83398569
2016-09-06,49.6506,50.0811,47.8138,47.9764,247236.61136509
2016-09-07,48.0243,49.0383,47.3546,48.3878,319598.90333223
2016-09-08,48.2156,49.0287,47.8329,47.8329,258272.94278087
2016-09-09,47.3546,47.5364,45.5274,45.8718,393280.37035588
2016-09-12,45.9196,45.977,44.4942,45.5848,257007.07828527
2016-09-13,46.0631,47.0006,45.6326,45.6326,308043.05527374
2016-09-14,45.7283,46.6849,45.2786,45.2786,211020.97031269
2016-09-15,45.403,45.5752,45.0682,45.4413,202566.54253367
2016-09-16,45.7091,45.7091,44.2933,44.2933,765698.54120464
2016-09-19,44.8194,45.9483,44.8194,45.47,349605.43199499
2016-09-20,45.4413,46.3788,45.3934,46.3405,200749.80224189
2016-09-21,46.3979,47.4598,46.3979,47.4598,297009.85977331
2016-09-22,47.6416,47.6416,43.9393,44.8194,764228.84221141
2016-09-23,44.9725,45.3265,44.2742,45.2978,328002.11116055
2016-09-26,45.2882,45.2882,44.322,44.7621,172477.43476673
2016-09-27,45.2021,45.623,44.5803,45.1925,209933.85299194
