Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-07-27,45.4235,45.4644,44.4181,45.3539,1615195.355051
2016-07-28,45.0067,45.3539,43.8211,43.8211,2001411.3853341
2016-07-29,43.8285,44.0373,43.1768,43.3078,2602890.7220437
2016-08-01,43.551,44.0013,42.5258,43.5583,1222229.2947292
2016-08-02,43.6893,44.1412,42.9269,43.3781,1736064.4925395
2016-08-03,43.5779,43.6893,42.6978,43.2184,794336.98887704
2016-08-04,43.3781,44.6326,43.2873,44.5908,1638797.8664546
2016-08-05,44.7087,44.8897,44.0013,44.73,2094060.3411501
2016-08-08,44.7709,45.2156,44.4049,45.1943,1091566.690463
2016-08-09,45.0289,45.9779,44.9445,45.5897,1233809.4982441
2016-08-10,45.223,46.4429,45.1803,46.4429,1336552.3564067
2016-08-11,46.1172,46.7689,45.8944,46.5462,1606314.1865254
2016-08-12,46.6723,47.0129,46.0475,46.1376,1264820.3111159
2016-08-16,46.1172,46.2211,44.9167,45.0771,2208393.17309
2016-08-17,45.0771,45.4031,43.9603,44.4524,1589475.1392713
2016-08-18,44.5573,45.0698,44.3214,45.0566,1105256.0493745
2016-08-19,45.0771,45.5619,44.9028,45.4235,844722.2320969
2016-08-22,45.0771,46.1858,45.0771,45.9779,1301610.2341999
2016-08-23,45.8116,46.2563,45.2287,45.6315,3745304.3006252
2016-08-24,45.223,45.4235,44.7644,45.4235,952224.42933328
2016-08-25,45.3884,45.3965,44.7996,45.2499,1112412.7665858
2016-08-26,45.1394,45.2712,44.6055,45.0067,796702.61366173
2016-08-29,45.0624,45.2083,44.6055,45.1394,645726.41257385
2016-08-30,45.0771,45.742,45.0566,45.666,1007511.9017146
2016-08-31,45.6315,45.6807,44.7644,45.0771,1779915.8727764
2016-09-01,45.0215,45.4588,44.4868,45.2156,1184727.3637725
2016-09-02,45.0903,45.2156,44.6736,44.8684,1299882.1190372
2016-09-05,44.8684,45.2499,44.667,44.834,722996.9753652
2016-09-06,44.834,45.4235,44.4319,44.6326,1909909.2140679
2016-09-07,44.549,45.5619,44.549,45.3253,1405353.3229762
2016-09-08,45.4161,45.5619,44.5286,44.8758,985479.9599925
2016-09-09,44.73,44.834,44.2855,44.3828,567983.21333868
2016-09-12,44.0373,44.0438,42.9966,43.6484,1023911.2871605
2016-09-13,43.8285,43.8907,43.0032,43.4821,1395380.3276268
2016-09-14,43.8629,43.8629,43.2045,43.5166,579220.23638662
2016-09-15,43.551,44.3141,43.4404,44.1888,830079.0513182
2016-09-16,44.2797,44.5769,43.8981,44.2445,1987532.7275886
2016-09-19,44.5081,45.2426,44.5081,45.2016,1088526.9175724
2016-09-20,45.0771,45.7011,44.8618,45.7011,672490.82514809
2016-09-21,45.5971,46.1441,45.5971,46.1441,1056804.0968279
2016-09-22,46.0548,47.2602,46.0548,46.7402,2019911.377197
2016-09-23,46.637,46.637,45.1803,45.6389,1284874.9959839
2016-09-26,45.1943,45.2156,44.5359,44.8266,766379.38300665
2016-09-27,45.0354,45.042,44.5147,45.042,668879.49190684
2016-09-28,45.0771,45.1943,44.4803,44.7996,819864.24197432
2016-09-29,45.2499,45.6585,44.73,45.2016,819789.74372349
2016-09-30,44.73,45.5275,44.5081,45.0837,2170722.7051068
2016-10-03,45.3335,45.666,44.834,44.938,1017771.8985221
2016-10-04,45.2843,46.1302,45.0566,45.7707,1991451.8240956
2016-10-05,45.8395,46.8098,45.7633,46.4634,932263.78324095
2016-10-06,46.6723,46.8098,46.298,46.637,986155.32938121
2016-10-07,46.7337,46.7819,46.4569,46.5674,1338016.6744846
2016-10-10,46.5674,48.6071,46.5674,48.2534,3392308.3838001
2016-10-11,48.4048,48.8912,48.1559,48.2534,2016733.5993499
2016-10-12,47.961,48.7529,47.7957,48.3844,998556.23493808
2016-10-13,47.9554,48.1486,47.7465,47.8439,2760991.8869901
2016-10-14,47.9488,47.9554,47.8292,47.8513,834773.66240355
2016-10-17,47.8513,48.2116,46.9499,46.9834,1177323.9474355
2016-10-18,47.1921,47.9062,46.9834,46.9981,993261.97399766
2016-10-19,47.0325,48.1969,47.0325,47.7122,1372840.3322597
2016-10-20,48.5375,48.7871,48.3426,48.648,1621365.2757594
2016-10-21,48.6824,48.9952,48.3639,48.5793,1031124.1833806
2016-10-24,48.544,49.2368,48.5171,49.0435,698000.98028617
2016-10-25,48.8969,50.2635,48.8969,49.9589,1621326.1947098
2016-10-26,49.9319,51.3517,49.7723,51.179,3230528.7150585
2016-10-27,51.2837,52.5939,51.2494,51.9421,2720573.5327056
2016-10-28,51.9495,52.7061,51.5392,52.4416,2071450.7326634
2016-10-31,52.4285,54.2299,52.4285,53.9539,4633317.3441535
2016-11-02,53.8843,53.8843,52.0518,52.2885,3396827.1301622
2016-11-03,52.1501,52.851,51.8447,52.67,1894041.0866402
2016-11-04,52.3245,52.5677,50.722,50.722,1178964.1302366
2016-11-07,51.4148,51.8389,50.6246,50.8882,1661430.6793146
2016-11-08,51.2494,51.6154,50.8531,51.3803,1501961.6776316
2016-11-09,50.903,51.1159,50.0834,50.8048,1593803.3655164
2016-11-10,51.3321,54.2864,51.3321,51.5819,2596261.5990023
2016-11-14,50.6246,52.3794,50.555,50.5764,2068398.7469448
2016-11-15,50.9571,51.6645,50.9366,51.2207,1547376.2998532
2016-11-16,51.6309,52.7888,51.5819,51.8938,1625091.409584
2016-11-17,51.9495,52.1444,49.7992,50.1604,1014822.5005587
2016-11-18,49.7576,51.2698,49.3407,49.4734,1346290.8654584
2016-11-21,49.8272,52.2541,49.584,52.2541,1831993.8139578
2016-11-22,52.7061,53.0933,52.5112,52.9132,2077591.3425846
